t,j1,j2,j3
1770814459.5494123,0.0,0.0,0.0
1770814459.5994687,0.0,0.0,0.0
1770814459.6495607,0.0,0.0,0.0
1770814459.6996214,0.0,0.0,0.0
1770814459.7497137,0.0,0.0,0.0
1770814459.799808,0.0,0.0,0.0
1770814459.8498695,0.0,0.0,0.0
1770814459.8999314,0.0,0.0,0.0
1770814459.9500265,0.0,0.0,0.0
1770814460.000136,0.0,0.0,0.0
1770814460.050234,0.0,0.0,0.0
1770814460.1003275,0.0,0.0,0.0
1770814460.1504362,0.0,0.0,0.0
1770814460.2005105,0.0,0.0,0.0
1770814460.250574,0.0,0.0,0.0
1770814460.3006358,0.0,0.0,0.0
1770814460.350698,0.0,0.0,0.0
1770814460.4007592,0.0,0.0,0.0
1770814460.4508212,0.0,0.0,0.0
1770814460.500913,0.0,0.0,0.0
1770814460.550975,0.0,0.0,0.0
1770814460.6010675,0.0,0.0,0.0
1770814460.6511612,0.0,0.0,0.0
1770814460.7012515,0.0,0.0,0.0
1770814460.7513502,0.0,0.0,0.0
1770814460.8014526,0.0,0.0,0.0
1770814460.85151,0.0,0.0,0.0
1770814460.901571,0.0,0.0,0.0
1770814460.9516315,0.0,0.0,0.0
1770814461.0016935,0.0,0.0,0.0
1770814461.0517535,0.0,0.0,0.0
1770814461.1018145,0.0,0.0,0.0
1770814461.1518753,0.0,0.0,0.0
1770814461.2019322,0.0,0.0,0.0
1770814461.2520278,0.0,0.0,0.0
1770814461.3021185,0.0,0.0,0.0
1770814461.3522108,0.0,0.0,0.0
1770814461.402302,0.0,0.0,0.0
1770814461.4523928,0.0,0.0,0.0
1770814461.5024896,0.0,0.0,0.0
1770814461.552551,0.0,0.0,0.0
1770814461.602647,0.0,0.0,0.0
1770814461.6527085,0.0,0.0,0.0
1770814461.7027707,0.0,0.0,0.0
1770814461.7528653,0.0,0.0,0.0
1770814461.8029282,0.0,0.0,0.0
1770814461.8529892,0.0,0.0,0.0
1770814461.9030805,0.0,0.0,0.0
1770814461.9531715,0.0,0.0,0.0
1770814462.003262,0.0,0.0,0.0
1770814462.0533533,0.0,0.0,0.0
1770814462.103449,0.0,0.0,0.0
1770814462.1535149,0.0,0.0,0.0
1770814462.203577,0.0,0.0,0.0
1770814462.2536724,0.0,0.0,0.0
1770814462.3037338,0.0,0.0,0.0
1770814462.3537962,0.0,0.0,0.0
1770814462.4038677,0.0,0.0,0.0
1770814462.453929,0.0,0.0,0.0
1770814462.5040193,0.0,0.0,0.0
1770814462.5541122,0.0,0.0,0.0
1770814462.604205,0.0,0.0,0.0
1770814462.6543005,0.0,0.0,0.0
1770814462.7043614,0.0,0.0,0.0
1770814462.7544537,0.0,0.0,0.0
1770814462.8044848,0.0,0.0,0.0
1770814462.8545516,0.0,0.0,0.0
1770814462.9046116,0.0,0.0,0.0
1770814462.954677,0.0,0.0,0.0
1770814463.0047376,0.0,0.0,0.0
1770814463.054841,0.0,0.0,0.0
1770814463.1049018,0.0,0.0,0.0
1770814463.1549635,0.0,0.0,0.0
